year,metric,delta,abs_delta_robust_z,is_change_point
1810,n_data_rows,-151.0,6.177,True
1759,data_rows_per_page,-15.154000000000002,6.1657235294117685,True
1881,amount_sum,40389.4625,6.0012097956088715,True
1800,data_rows_per_page,14.633,5.92253010380623,True
1723,data_rows_per_page,14.511,5.86558269896194,True
1891,entry_ratio,-0.07740000000000002,5.807707792207853,True
1721,data_rows_per_page,-14.225000000000001,5.732083044982702,True
1801,data_rows_per_page,-14.070999999999998,5.660198615916956,True
1881,amount_sum_real,22602.6978,5.493520027897591,True
1891,data_rows_per_page,13.649999999999999,5.463683391003461,True
1770,data_rows_per_page,13.582999999999998,5.4324089965397935,True
1892,data_rows_per_page,13.5,5.3936660899654,True
1883,data_rows_per_page,13.399999999999999,5.346987889273358,True
1857,amount_sum,35750.18229166666,5.218714833526587,True
1869,entry_ratio,-0.06979999999999997,5.141967532467582,True
1808,amount_median,-8.295312500000001,5.046135588558855,True
1807,amount_median,8.174999999999999,4.960431793179315,True
1857,amount_sum_real,20683.236700000005,4.955050810922025,True
1809,amount_sum,34173.24062499999,4.952736307925177,True
1860,amount_sum,32619.043749999997,4.690594085390956,True
1769,n_data_rows,-119.5,4.686,True
1768,data_rows_per_page,-11.857,4.626743252595157,True
1898,amount_sum,31891.154166666645,4.567822899704127,True
1860,amount_sum_real,18381.279700000003,4.3092794622338815,True
1818,amount_sum_real,-18332.2999,4.295539087628936,True
1898,amount_sum_real,18319.597900000008,4.291975777075771,True
1843,n_data_rows,108.0,4.141666666666667,True
1820,amount_median,6.983333333333334,4.11155610561056,True
1844,n_data_rows,-107.0,4.094333333333333,True
1743,data_rows_per_page,-10.686,4.080141522491351,True
1761,data_rows_per_page,10.583,4.032062975778548,True
1739,data_rows_per_page,-10.582999999999998,4.0320629757785476,True
1893,n_data_rows,105.0,3.9996666666666667,True
1808,data_rows_per_page,10.357,3.9265702422145337,True
1819,entry_ratio,0.05570000000000008,3.906844155844204,True
1846,amount_sum_real,16812.205599999998,3.869104820505718,True
1846,amount_sum,27518.213541666664,3.830250721502647,True
1893,entry_ratio,0.05480000000000007,3.82800649350654,True
1886,entry_ratio,0.05469999999999997,3.819246753246791,True
1899,amount_sum_real,-16546.72220000002,3.7946283757796437,True
1847,amount_sum,-26610.439583333333,3.677138920273354,True
1899,amount_sum,-26583.387499999983,3.6725761178618614,True
1847,amount_sum_real,-16020.5101,3.647009329240967,True
1869,amount_sum,26409.837499999998,3.6433039043780897,True
1777,n_data_rows,-95.5,3.55,True
1819,amount_sum,25786.822916666664,3.5382217039353483,True
1895,amount_sum,25729.5625,3.5285637428818397,True
1883,n_data_rows,-95.0,3.5263333333333335,True
1731,n_data_rows,-94.0,3.479,True
1819,n_data_rows,94.0,3.479,True
1778,n_data_rows,-92.5,3.408,True
1895,amount_sum_real,14963.784100000004,3.3505644459465254,True
1860,amount_median,5.875,3.3220423542354216,True
1849,amount_median,-5.862500000000001,3.3131380638063797,True
1867,amount_median,-5.725,3.215190869086907,True
1862,amount_sum,-23704.25416666666,3.186960412983829,True
1818,data_rows_per_page,-8.667000000000002,3.1377086505190337,True
1734,data_rows_per_page,8.600000000000001,3.1064342560553655,True
1815,amount_sum,-23098.009375,3.084706728367912,True
1818,entry_ratio,-0.04620000000000002,3.074668831168866,True
1881,n_data_rows,85.0,3.053,True
1838,n_data_rows,-84.0,3.005666666666667,True
1862,amount_sum_real,-13665.654700000003,2.9863983153846907,True
1869,amount_sum_real,13663.207999999999,2.9857119390714764,True
1776,n_data_rows,83.5,2.9819999999999998,True
1726,data_rows_per_page,8.332999999999998,2.981803460207613,True
1733,data_rows_per_page,8.286000000000001,2.959864705882355,True
1758,entry_ratio,0.04479999999999995,2.9520324675324954,True
1752,entry_ratio,-0.04469999999999996,2.9432727272727557,True
1816,amount_sum,21991.90625,2.8981432780073852,True
1770,n_data_rows,81.5,2.8873333333333333,True
1882,entry_ratio,-0.04399999999999993,2.8819545454545707,True
1779,data_rows_per_page,7.999999999999998,2.826365051903115,True
1791,amount_median,5.122916666666667,2.7863008800880076,True
1859,entry_ratio,-0.04290000000000005,2.7855974025974377,True
1791,n_data_rows,-79.0,2.769,True
1809,amount_sum_real,12840.0788,2.754798306180596,True
1800,n_data_rows,78.5,2.7453333333333334,True
1858,amount_sum,-20834.976041666654,2.7030069596889716,True
1823,amount_sum,20700.426041666666,2.6803127717071713,True
1828,amount_median,-4.9375,2.6542205720572043,True
1858,amount_sum_real,-12448.753500000006,2.645019250031073,True
1839,n_data_rows,76.0,2.6270000000000002,True
1866,amount_median,4.889583333333333,2.620087458745873,True
1850,amount_median,4.855208333333334,2.5956006600660055,True
1740,data_rows_per_page,7.433,2.56169965397924,True
1820,data_rows_per_page,-7.433,2.56169965397924,True
1801,n_data_rows,-74.0,2.5323333333333333,True
1819,amount_sum_real,11855.2156,2.478513198797044,False
1802,amount_median,-4.672916666666666,2.4657464246424623,False
1820,entry_ratio,-0.03920000000000001,2.4614870129870416,False
